Story;ColLine;SecID;StnLoc;DesignOpt;Status;PMMCombo;AsMin;As;CornerRebarAs;MidRebarAs;PMMRatio;VMajCombo;VMajRebar;VMinCombo;VMinRebar;ErrMsg;WarnMsg
PISO 1;C4;C35X80H280;2.04;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU09;0.000667;No Message;No Message
PISO 1;C4;C35X80H280;2.295;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU09;0.000667;No Message;No Message
PISO 1;C4;C35X80H280;2.55;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU09;0.000667;No Message;No Message
PISO 3;C5;C35X80H280;0;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000527;SU06;0.002282;No Message;No Message
PISO 3;C5;C35X80H280;0.235;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000527;SU06;0.002282;No Message;No Message
PISO 3;C5;C35X80H280;0.47;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000527;SU06;0.002282;No Message;No Message
PISO 3;C5;C35X80H280;0.705;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000527;SU05;0.002282;No Message;No Message
PISO 3;C5;C35X80H280;0.94;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000527;SU05;0.002282;No Message;No Message
PISO 3;C5;C35X80H280;1.175;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000527;SU05;0.002282;No Message;No Message
PISO 3;C5;C35X80H280;1.41;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000527;SU05;0.002282;No Message;No Message
PISO 3;C5;C35X80H280;1.645;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000527;SU05;0.002282;No Message;No Message
PISO 3;C5;C35X80H280;1.88;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000527;SU05;0.002282;No Message;No Message
PISO 3;C5;C35X80H280;2.115;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000527;SU05;0.002282;No Message;No Message
PISO 3;C5;C35X80H280;2.35;Design;See WarnMsg;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000527;SU05;0.002282;No Message;Beam/Column capacity ratio exceeds limit
PISO 2;C5;C35X80H280;0;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000354;SU09;0.000786;No Message;No Message
PISO 2;C5;C35X80H280;0.235;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000354;SU09;0.000786;No Message;No Message
PISO 2;C5;C35X80H280;0.47;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000354;SU09;0.000786;No Message;No Message
PISO 2;C5;C35X80H280;0.705;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000354;SU09;0.000786;No Message;No Message
PISO 2;C5;C35X80H280;0.94;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000354;SU09;0.000786;No Message;No Message
PISO 2;C5;C35X80H280;1.175;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000354;SU09;0.000786;No Message;No Message
PISO 2;C5;C35X80H280;1.41;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000354;SU09;0.000786;No Message;No Message
PISO 2;C5;C35X80H280;1.645;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000354;SU09;0.000786;No Message;No Message
PISO 2;C5;C35X80H280;1.88;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000354;SU09;0.000786;No Message;No Message
PISO 2;C5;C35X80H280;2.115;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000354;SU09;0.000786;No Message;No Message
PISO 2;C5;C35X80H280;2.35;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000354;SU09;0.000786;No Message;No Message
PISO 1;C5;C35X80H280;0;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU09;0.000667;No Message;No Message
PISO 1;C5;C35X80H280;0.255;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU09;0.000667;No Message;No Message
PISO 1;C5;C35X80H280;0.51;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU09;0.000667;No Message;No Message
PISO 1;C5;C35X80H280;0.765;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU09;0.000667;No Message;No Message
PISO 1;C5;C35X80H280;1.02;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU09;0.000667;No Message;No Message
PISO 1;C5;C35X80H280;1.275;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU09;0.000667;No Message;No Message
PISO 1;C5;C35X80H280;1.53;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU09;0.000667;No Message;No Message
PISO 1;C5;C35X80H280;1.785;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU09;0.000667;No Message;No Message
PISO 1;C5;C35X80H280;2.04;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU09;0.000667;No Message;No Message
PISO 1;C5;C35X80H280;2.295;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU09;0.000667;No Message;No Message
PISO 1;C5;C35X80H280;2.55;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU09;0.000667;No Message;No Message
PISO 3;C6;C35X80H280SD;0;Check;No Message;SU05;0.0028;0.0028;0.0002;0.0002;0.595;SU09;0.000648;SU09;0.002166;No Message;No Message
PISO 3;C6;C35X80H280SD;0.235;Check;No Message;SU02;0.0028;0.0028;0.0002;0.0002;0.419;SU09;0.000648;SU09;0.002164;No Message;No Message
PISO 3;C6;C35X80H280SD;0.47;Check;No Message;SU02;0.0028;0.0028;0.0002;0.0002;0.293;SU09;0.000648;SU06;0.002288;No Message;No Message
PISO 3;C6;C35X80H280SD;0.705;Check;No Message;SU02;0.0028;0.0028;0.0002;0.0002;0.178;SU09;0.000648;SU06;0.002285;No Message;No Message
PISO 3;C6;C35X80H280SD;0.94;Check;No Message;SU02;0.0028;0.0028;0.0002;0.0002;0.123;SU09;0.000648;SU06;0.002283;No Message;No Message
PISO 3;C6;C35X80H280SD;1.175;Check;No Message;SU06;0.0028;0.0028;0.0002;0.0002;0.163;SU09;0.000648;SU06;0.002281;No Message;No Message
PISO 3;C6;C35X80H280SD;1.41;Check;No Message;SU06;0.0028;0.0028;0.0002;0.0002;0.28;SU09;0.000648;SU06;0.002279;No Message;No Message
PISO 3;C6;C35X80H280SD;1.645;Check;No Message;SU06;0.0028;0.0028;0.0002;0.0002;0.42;SU09;0.000648;SU06;0.002277;No Message;No Message
